region;variable;sw_w;sw_p;ks_d;ks_p;cvm_w_sq;cvm_p;ad_a_sq;ad_p
Bánság;gdp_me;0.898687;0.3662;0.251788;>0.1500;0.058954;>0.2500;0.35049;>0.2500
Dél-Alföld;gdp_me;0.888315;0.3095;0.194864;>0.1500;0.053358;>0.2500;0.348448;>0.2500
Vajdaság;gdp_me;0.901612;0.3835;0.239747;>0.1500;0.054035;>0.2500;0.333089;>0.2500
Bánság;elv_sz;0.888069;0.3082;0.204189;>0.1500;0.056281;>0.2500;0.350694;>0.2500
Dél-Alföld;elv_sz;0.984358;0.9711;0.12881;>0.1500;0.018344;>0.2500;0.138844;>0.2500
Vajdaság;elv_sz;0.852039;0.1635;0.283081;0.1343;0.074077;0.2132;0.456456;0.1708
Bánság;hal_sz;0.898734;0.3665;0.262717;>0.1500;0.066189;>0.2500;0.375921;>0.2500
Dél-Alföld;hal_sz;0.796531;0.0547;0.249063;>0.1500;0.095558;0.1018;0.583934;0.0742
Vajdaság;hal_sz;0.871786;0.2334;0.244643;>0.1500;0.065337;>0.2500;0.399353;0.2454
Bánság;nep_jan1;0.763431;0.0269;0.310661;0.0693;0.121525;0.0436;0.699721;0.0337
Dél-Alföld;nep_jan1;0.972096;0.9062;0.13961;>0.1500;0.021465;>0.2500;0.15523;>0.2500
Vajdaság;nep_jan1;0.825348;0.0981;0.253327;>0.1500;0.087507;0.1354;0.527357;0.1034
Bánság;tfr;0.82478;0.0970;0.288423;0.1174;0.084661;0.1472;0.516291;0.1128
Dél-Alföld;tfr;0.764373;0.0274;0.306833;0.0763;0.122945;0.0418;0.689862;0.0361
Vajdaság;tfr;0.838605;0.1269;0.246333;>0.1500;0.084813;0.1466;0.501585;0.1253
Bánság;brut_nat;0.977251;0.9371;0.145842;>0.1500;0.022454;>0.2500;0.163144;>0.2500
Dél-Alföld;brut_nat;0.947394;0.7191;0.17776;>0.1500;0.034236;>0.2500;0.221142;>0.2500
Vajdaság;brut_nat;0.965807;0.8632;0.150087;>0.1500;0.025284;>0.2500;0.177188;>0.2500
Bánság;nett_nat;0.976766;0.9344;0.14882;>0.1500;0.022799;>0.2500;0.165541;>0.2500
Dél-Alföld;nett_nat;0.958905;0.8113;0.174563;>0.1500;0.030538;>0.2500;0.19867;>0.2500
Vajdaság;nett_nat;0.965986;0.8645;0.147826;>0.1500;0.02515;>0.2500;0.176512;>0.2500
Bánság;brut_eur;0.960241;0.8216;0.179957;>0.1500;0.030792;>0.2500;0.207351;>0.2500
Dél-Alföld;brut_eur;0.906742;0.4153;0.203211;>0.1500;0.052744;>0.2500;0.335429;>0.2500
Vajdaság;brut_eur;0.967064;0.8722;0.149726;>0.1500;0.024827;>0.2500;0.174666;>0.2500
Bánság;nett_eur;0.960702;0.8251;0.18079;>0.1500;0.030734;>0.2500;0.207544;>0.2500
Dél-Alföld;nett_eur;0.93322;0.6052;0.186335;>0.1500;0.044119;>0.2500;0.281441;>0.2500
Vajdaság;nett_eur;0.967245;0.8734;0.147495;>0.1500;0.024692;>0.2500;0.173984;>0.2500
Bánság;belso_mig;0.932575;0.6001;0.196283;>0.1500;0.035492;>0.2500;0.254067;>0.2500
Dél-Alföld;belso_mig;0.948927;0.7316;0.19167;>0.1500;0.040348;>0.2500;0.254169;>0.2500
Vajdaság;belso_mig;0.927536;0.5612;0.215423;>0.1500;0.044115;>0.2500;0.266599;>0.2500
Bánság;kivand;0.924887;0.5412;0.162763;>0.1500;0.036161;>0.2500;0.255047;>0.2500
Dél-Alföld;kivand;0.901442;0.3825;0.246353;>0.1500;0.064536;>0.2500;0.379473;>0.2500
Vajdaság;kivand;0.941966;0.6751;0.186415;>0.1500;0.035706;>0.2500;0.229486;>0.2500
Bánság;nep_valt;0.641089;0.0014;0.39749;<0.0100;0.204903;<0.0050;1.070689;<0.0050
Dél-Alföld;nep_valt;0.913914;0.4626;0.229753;>0.1500;0.047581;>0.2500;0.297328;>0.2500
Vajdaság;nep_valt;0.585062;0.0003;0.418997;<0.0100;0.245493;<0.0050;1.255496;<0.0050
Bánság;nep_valt_ar;0.637634;0.0013;0.399946;<0.0100;0.207608;<0.0050;1.082684;<0.0050
Dél-Alföld;nep_valt_ar;0.859996;0.1892;0.278319;0.1494;0.068901;0.2462;0.429999;0.2054
Vajdaság;nep_valt_ar;0.577653;0.0002;0.420452;<0.0100;0.250411;<0.0050;1.277844;<0.0050
Bánság;nok_kora;0.875148;0.2475;0.261936;>0.1500;0.066543;>0.2500;0.407518;0.2347
Dél-Alföld;nok_kora;0.821616;0.0911;0.292892;0.1032;0.090018;0.1249;0.544383;0.0936
Vajdaság;nok_kora;0.856559;0.1777;0.308266;0.0737;0.096745;0.0982;0.524277;0.1060
Bánság;csecshal;0.81005;0.0722;0.282997;0.1346;0.090216;0.1241;0.545216;0.0932
Dél-Alföld;csecshal;0.902033;0.3861;0.254229;>0.1500;0.054596;>0.2500;0.335432;>0.2500
Vajdaság;csecshal;0.947824;0.7226;0.237299;>0.1500;0.054907;>0.2500;0.290229;>0.2500
Bánság;fogy_elm;0.851183;0.1609;0.241151;>0.1500;0.076639;0.1969;0.447324;0.1827
Dél-Alföld;fogy_elm;0.820572;0.0893;0.262634;>0.1500;0.095258;0.1031;0.559546;0.0862
Vajdaság;fogy_elm;0.861966;0.1960;0.255616;>0.1500;0.07653;0.1976;0.433774;0.2004
Bánság;fogy_alk;0.927172;0.5584;0.182141;>0.1500;0.032018;>0.2500;0.238326;>0.2500
Dél-Alföld;fogy_alk;0.835786;0.1202;0.275272;>0.1500;0.089242;0.1282;0.521693;0.1082
Vajdaság;fogy_alk;0.941186;0.6688;0.168237;>0.1500;0.032383;>0.2500;0.218765;>0.2500
Bánság;fogy_ruha;0.881902;0.2779;0.292151;0.1056;0.070471;0.2362;0.40059;0.2437
Dél-Alföld;fogy_ruha;0.905809;0.4094;0.276431;>0.1500;0.068358;0.2497;0.388777;>0.2500
Vajdaság;fogy_ruha;0.893633;0.3377;0.245454;>0.1500;0.055428;>0.2500;0.34642;>0.2500
Bánság;fogy_egesz;0.901141;0.3807;0.179521;>0.1500;0.041136;>0.2500;0.294885;>0.2500
Dél-Alföld;fogy_egesz;0.730952;0.0129;0.327724;0.0424;0.152945;0.0162;0.826743;0.0149
Vajdaság;fogy_egesz;0.936081;0.6278;0.207632;>0.1500;0.040038;>0.2500;0.246835;>0.2500
Bánság;fogy_transz;0.895187;0.3463;0.290945;0.1094;0.074305;0.2118;0.411078;0.2300
Dél-Alföld;fogy_transz;0.966503;0.8682;0.166874;>0.1500;0.030855;>0.2500;0.209632;>0.2500
Vajdaság;fogy_transz;0.924844;0.5409;0.244414;>0.1500;0.051574;>0.2500;0.300795;>0.2500
Bánság;fogy_okt;0.930615;0.5849;0.173631;>0.1500;0.032732;>0.2500;0.234632;>0.2500
Dél-Alföld;fogy_okt;0.752837;0.0212;0.321862;0.0492;0.130888;0.0321;0.736215;0.0249
Vajdaság;fogy_okt;0.973213;0.9133;0.160588;>0.1500;0.023523;>0.2500;0.160874;>0.2500
Bánság;fogy_etter;0.937112;0.6360;0.20281;>0.1500;0.041207;>0.2500;0.270088;>0.2500
Dél-Alföld;fogy_etter;0.932779;0.6017;0.186195;>0.1500;0.029659;>0.2500;0.229464;>0.2500
Vajdaság;fogy_etter;0.834937;0.1183;0.315065;0.0612;0.099727;0.0908;0.534919;0.0983
